Estudiantes,Docente,Padres de familia ,Año de basica,Muy de acuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo
1,0,0,4,1,0,0,0
1,1,0,5,1,0,0,0
1,0,0,5,0,1,0,0
1,0,0,5,1,0,0,0
1,0,0,5,1,0,0,0
1,0,0,5,1,0,0,0
1,0,0,5,1,0,0,0
1,0,0,5,0,1,0,0
1,0,0,6,0,1,0,0
1,0,0,6,0,1,0,0
1,0,0,7,1,0,0,0
1,0,0,7,1,0,0,0
1,0,0,7,0,1,0,0
1,0,0,7,1,0,0,0
1,0,0,7,0,1,0,0
1,0,0,7,0,0,1,0
0,0,1,4,1,0,0,0
0,0,1,5,0,1,0,0
0,0,1,5,1,0,0,0
0,0,1,5,1,0,0,0
0,0,1,5,1,0,0,0
0,0,1,5,1,0,0,0
0,0,1,5,0,1,0,0
0,0,1,6,0,1,0,0
0,0,1,6,0,1,0,0
0,0,1,7,1,0,0,0
0,0,1,7,1,0,0,0
0,0,1,7,0,1,0,0
0,0,1,7,1,0,0,0
0,0,1,7,0,1,0,0
0,0,1,7,0,0,1,0
