Estudiantes ,Padres de familia ,Año de básica ,Siempre,Muchas veces,Pocas veces,Nunca
1,0,4,0,1,0,0
1,0,5,0,1,0,0
1,0,5,0,1,0,0
1,0,5,0,1,0,0
1,0,5,0,1,0,0
1,0,5,1,0,0,0
1,0,5,1,0,0,0
1,0,5,1,0,0,0
1,0,6,1,0,0,0
1,0,6,1,0,0,0
1,0,7,1,0,0,0
1,0,7,1,0,0,0
1,0,7,1,0,0,0
1,0,7,0,1,0,0
1,0,7,1,0,0,0
1,0,7,1,0,0,0
0,1,4,0,1,0,0
0,1,5,0,1,0,0
0,1,5,0,1,0,0
0,1,5,0,1,0,0
0,1,5,0,1,0,0
0,1,5,1,0,0,0
0,1,5,1,0,0,0
0,1,5,1,0,0,0
0,1,6,1,0,0,0
0,1,6,1,0,0,0
0,1,7,1,0,0,0
0,1,7,1,0,0,0
0,1,7,1,0,0,0
0,1,7,0,1,0,0
0,1,7,1,0,0,0
0,1,7,1,0,0,0
