id,documento
1,"Learning ecology requires training in data management and analysis. Because of its transparent and flexible nature. R is increasingly used for data management and analysis in the field of ecology. Consequently. job postings targeting candidates with a bachelor's degree and a required knowledge of R have increased over the past ten years. In this paper. we begin by presenting data from the last ten years demonstrating the increase in the use of R. an open-source programming environment. in ecology and its prevalence as a required skill in job descriptions. We then discuss our experiences teaching undergraduates R in two advanced ecology classes using different approaches. One approach. in a course with a field laboratory. focused on collecting. cleaning. and preparing data for analysis. The other approach. in a course without a field laboratory. focused on analyzing existing datasets and applying the results to content discussed in the lecture portion of the course. Our experiences determined that each approach had strengths and weaknesses. We recommend that above all. instructors of ecology and related subjects should be encouraged to include R in their coursework. Furthermore. instructors should be aware of the following: Learning R is a separate skill from learning statistics, writing R assignments is a significant time commitment for course preparation, and there is a tradeoff between teaching R and teaching content. Determining how one's course fits into the curriculum and identifying resources outside of the classroom for students' continued practice will ensure that R training is successful and will extend beyond a one-semester course. PU  - WILEY PI  - HOBOKEN PA  - 111 RIVER ST. HOBOKEN 07030-5774. NJ USA"
2,"Nowadays full of information technology. it is important to provide valuable information in teaching or research that can adapt the content of education to the needs of a rapidly developing society. It is our targeted step towards achieving the desired adaptation of educational content to provide such suitable application materials using the Excel. The computing systems guide the development of abilities and the basic factors of students' thinking in learning mathematics. The use of these tools in solving various practical problems truly penetrates all mathematical disciplines and today we are able to solve the most diverse mathematical problems thanks to properly designed program. Nowadays. there are many modern complex environments such as Excel. whose use in selected mathematical applications we want to bring near at least briefly in our article. The Excel software provides us with various implemented functions. commands and programming language enabling implementation of various algorithms. Our work is focused on creating several tasks for the development of logical thinking. Tasks are in the form of application examples using cross-subject relationships. The assignment of tasks is for students of vocational schools of economics. The tasks use the logical function ""IF"" in Excel and focus on the application of knowledge from specialized subjects. To use this function. it is necessary to formulate a logical test that has a clear criterion and exhausts all cases that may occur in decision making. Using Excel also offers the opportunity to expand tasks and then experiment with tasks. The information presented in our article can be used in various mathematical disciplines to solve or automate the solution of a wide range of problems. so that the text can be used by students who are just beginning to use the Excel environment to solve and understand the principle of problems using the implemented functions such as a ""IF"" condition. PU  - MAGNANIMITAS PI  - HRADEC KRALOVE PA  - CESKOSLOVENSKE ARMADY 300. HRADEC KRALOVE. 500 03. CZECH REPUBLIC"
3,To combat the difficulty that many students must learn how to program. the failure in introductory programming courses and the traditional high dropout rate. teachers have to use strategies that motivate and improve students' skills. Active methodologies and student-centered instruction can be a solution to get students interested on the subject. preparing assignments while learning in the classroom. This article reports on two very different experiences in two academic years. In the first year. agile SCRUM methodology. groups of five students. three interactions and a final project were used. In the second year. the Project based Learning was used with groups of three students for two different products. changing the composition of the groups. In both cases. peer classification was used. The results show that in the first case there is an increase in the approval rate. while in the second case there is an increase in the dropout rate. In this article we make a critical analysis of the results. analyzing what can be beneficial in one experiment and in the other in order to find an ideal model for using active methodologies to teach freshman computer science students how to program. PU  - IEEE PI  - NEW YORK PA  - 345 E 47TH ST. NEW YORK. NY 10017 USA
4,In the regression analysis the variable to be predict is known as the dependent variable. The variables that are used to make the prognosis are called independent variables. In addition. to predicting the values of the dependent variable. regression analysis allows to identify the type of mathematical relationship that exists between a dependent variable and an independent variable in order to quantify the effect that the changes in the latter have on the former. as well as to identify uncommon observations. The simplest type of regression analysis is in which an independent variable and a dependent variable intervene and in which the relationship between these variables is approximated through a straight line. This type of regression analysis is called simple linear regression.Within this context an e-learning course was developed adapting the subject regression and linear correlation in the subjects of Statistics that are imparted in the degrees of Engineering in the FESC. the purpose of using the e-learning course is (a) to optimize its contribution to the contents. skills and competences that students must have. (b) the integration of statistical software in courses to highlight applications to problems and real contexts of concepts and methods. (c) the development of interactive materials that facilitate their updating and learning by experimentation. (d) the use of a continuous assessment model that guides and prepares students in their training. and (g) The promotion of online collaborative learning through the assignment of projects and activities to be carried out in working groups.We consider that e-learning offers students greater flexibility with respect to the conventional method of class in the classroom since it is not necessary to be present in class to review the subject of regression and linear correlation. but once enrolled in the course. The students can receive it in any time slot. in addition the student can set their own learning rhythms. depending on the time available and the goals set.With the use of this course allows us to implement to students a new concept of the use of modern statistics. which indicates that it is not so important to memorize formulas or perform complex arithmetic calculations by hand. instead you can focus on getting results in a faster way using some kind of technology (software. advanced calculators. specialized websites. etc...) then give practical meaning to the results through critical thinking. PU  - IATED-INT ASSOC TECHNOLOGY EDUCATION {\&} DEVELOPMENT PI  - VALENICA PA  - LAURI VOLPI 6. VALENICA. BURJASSOT 46100. SPAIN
5,Autoscalers exploit cloud-computing elasticity to cope with the dynamic computational demands of scientific workflows. Autoscalers constantly acquire or terminate virtual machines (VMs) on-the-fly to execute workflows minimizing makespan and economic cost. One key problem of workflow autoscaling under budget constraints (i.e. with a maximum limit in cost) is determining the right proportion between: (a) expensive but reliable VMs called on-demand instances. and (b) cheaper but subject-to-failure VMs called spot instances. Spot instances can potentially provide huge parallelism possibilities at low costs but they must be used wisely as they can fail unexpectedly hindering makespan. Given the unpredictability of failures and the inherent performance variability of clouds. designing a policy for assigning the budget for each kind of instance is not a trivial task. For such reason we formalize the described problem as a Markov decision process that allows us learning near-optimal policies from the experience of other baseline policies. Experiments over four well-known scientific workflows. demonstrate that learned policies outperform the baseline policies considering the aggregated relative percentage difference of makespan and execution cost. These promising results encourage the future study of new strategies aiming to find optimal budget policies applied to the execution of workflows in the cloud. PU  - SPRINGER PI  - NEW YORK PA  - ONE NEW YORK PLAZA. SUITE 4600. NEW YORK. NY. UNITED STATES
6,"Redundant assignments are a common way to manage team performance. This requirement arises from real-world practices including team management. and highly-available systems. However. it is a complex problem due to limited resources. The lack of available modeling tools makes it even more difficult to provide an accurate solution. Role-Based Collaboration (RBC) and its Environments-Classes. Agents. Roles. Groups. and Objects (E-CARGO) model are tools well suited to tackle such a problem.This paper formalizes the problem of determining the most economical redundant assignment (MERA) with the E-CARGO model. clarifies it as a multi-objective optimization problem, proposes two solutions: one by using a Linear Programming (LP) solver. i.e.. the IBM ILOG CPLEX Optimization Platform (CPLEX), and one by using our previous work on Group Role Assignment (GRA). where the latter solution is much more efficient than the former one. This work contributes an investigation of the MERA problem to state of the art on the subject of assignment. The proposed solution provides technical support for decision making in solving similar problems. PU  - IEEE PI  - NEW YORK PA  - 345 E 47TH ST. NEW YORK. NY 10017 USA"
7,The purpose of the paper is to study the educational process and everyday life of Kyiv Theological Seminary educatees during 1947-1960.Scientific novelty: General features of the educational process. living conditions. and everyday life of the students of Kyiv Theological Seminary are characterized. The daily schedule of Seminary students and the main ways of extracurricular and free time passing are clarified. An attempt is made to analyze the influence of the living conditions in the Seminary. in particular providing housing and educational facilities. on the functioning and development of the institution.Conclusions: The process of establishing Kyiv Theological Seminary and solving the problem of providing it with proper premises are analyzed in the paper. Attention is focused on the modernization of the premises. Particular attention is paid to the dormitory of the Seminary. as a place where students spent a significant part of their time. Housing and educational facilities. provision of necessary materials. living conditions and rules are clarified. It is found out how the lack of living space affected the functioning and development of Kyiv Theological Seminary. The internal rules of the Seminary and the student's daily schedule are highlighted.The peculiarities of training at the Seminary are outlined. Teaching load. subjects taught. and the teaching staff are analyzed. Rules of behavior of Seminary students during classes. self-training. attending the liturgy. staying in a dormitory. and food intake are shown. Ways to solve the problem of providing educational materials are ascertained.The focus is on the everyday life of Seminary students. Their diet. material support. rest. and free time are studied as well. Attempts for the ideological influence of Soviet totalitarianism on the future clergy are outlined. It is analyzed which reports and lectures were given by Soviet propagandists at the Seminary. Tasks. methods. and ways of influence of the Soviet special services on Seminary educatees are specified. Also. the forms and methods of expressing disagreement with the actions of the administration by Seminary students are highlighted in the paper. PU  - Scientific Research Centre Lukomorie - SRC Lukomorie PI  - Mykolaiv PA  - Admiralteyskaya Square. 1. Mykolaiv. Mykolaiv. UKRAINE
8,This study sought out to explore the contributions of the Iranian school organizational climate to English Foreign Language (EFL) teachers' job satisfaction in a mixed methods approach in a broad scope in Iran. To accomplish the objectives. using stratified random sampling. a total of 440 male and female teachers from state schools and private language schools in Tehran. Markazi. and Lorestan Provinces were selected. The quantitative data were gathered by means of a modified version of Horowitz and Zak's (1979) School Organizational Climate Questionnaire and Spector's (1985) Job Satisfaction Questionnaire. The qualitative data were also collected by administering interviews with 40 EFL teachers selected using stratified random sampling. Then. the data were analyzed through Pearson correlation. multiple regression analysis. and content analysis. Results revealed that there exists a significant positive correlation between the school organizational climate and the EFL teachers' job satisfaction. In addition. it was found that the job satisfaction is mostly affected by teaching load. principal leadership. autonomy and decision making. and intimacy and warmth factors. Besides. the findings disclosed that the school organizational climate is neither favorable nor positive such that it has negatively affected the Iranian EFL teachers' job satisfaction. In the end. the pedagogical and managerial implications of the findings are discussed in-depth. PU  - TAYLOR {\&} FRANCIS AS PI  - OSLO PA  - KARL JOHANS GATE 5. NO-0154 OSLO. NORWAY
9,"External funding is required for promotion and tenure in many disciplines. especially at research intensive universities. The purpose of this study was to identify barriers and assets to external funding for African American faculty at a research intensive university. A phenomenological approach was used to capture the voice of 16 African American faculty through focus groups and interviews. Data were interpreted through the lens of Critical Race Theory. The three primary themes were: (1) barriers. (2) influence of race. and (3) assets. Barriers included lack of mentors and collaborators, teaching load and lack of protective time, scarcity of funding, and lack of administrative support and infrastructure for getting grants out. Faculty reported several assets for securing funding. These included both personal (e.g. good training. innovation) and external (e.g. collaborations with community members) assets. Recommendations for addressing barriers are provided. PU  - ROUTLEDGE JOURNALS. TAYLOR {\&} FRANCIS LTD PI  - ABINGDON PA  - 2-4 PARK SQUARE. MILTON PARK. ABINGDON OX14 4RN. OXON. ENGLAND"
10,Modern higher education is actively moving beyond national boundaries and therefore it faces a number of specific problems. One of these problems is an exchange student's adaptation to living in studying conditions of the new country. It is necessary to form an indicator system for adaptation process prognostic and risk reducing models and solve foreign student's adaptation assessment. prediction and management problems in the most effective way. This paper is devoted to the algorithms and software development for monitoring. assessing. forecasting and managing the foreign student's adaptation process (especially in the Russian universities) based on an integrated approach which coordinates a set of methods. including: multivariate statistical and the hierarchical analysis. fuzzy sets and data mining. A foreign student's adaptation abilities assessment criteria and hierarchical risk model's design are based on an integrated risk management approach. The fuzzy set method makes it possible to successfully assess the foreign student's adaptation level in Russian universities for different initial conditions and characteristic sets. Decision priorities were set using a data structure obtained with the hierarchy analysis method. Student's adaptation. development and disruption forecasting are possible as an application of a heterogeneous sequential procedure. An integrated approach to the foreign student's adaptation assessment. prediction and management was implemented to develop a decision support system for foreign student's adaptation process management based on a set of methods and decision rules for the exchange student's individual adaptive assessment and its breakdown prediction.   2018 IEEE
