id,capacitacion
0, nada
1, ii congreso internacional multidisciplinar de investigadores en formacion cimif curso de introduccion a la mineria de datos con r th internacional conference on digital technologies in education science and industry th internacional conference on digital technologies in education science and industry como agregar reactivos al aula virtual utilizando una plantilla de microsoft word como pasar notas al sga utilizando el libro de calificaciones de la plataforma virtual de aprendizaje de la utm taller como crear un test o evaluacion en linea manejo de grupos entrega de tareas grupales y wiki en el aula virtual utm
2, programa en direccion y gestion de universidades curso internacional en cultura de la investigacion on line modalidad ingenieria y empresa convencion cientifica internacional utm ciudades cognitivas y diseno de universidades cognitivas curriculo en la universidad tecnica de manabi congreso internacional de educacion superior de calidad en el espacio latinoamericano escel comunicacion cientifica para investigadores primeras jornadas posgrado iberoamerica auip
3, jornadas sarteco the th international wireless communications and mobile computing conference the nd ieee international conference on advanced information networking and applications
4, aplicaciones informaticas desarrollo basado en plataforma diseno grafico ofimatica manejo de grupos entrega de tareas grupales y wiki en el aula virtual utm configuracion del libro de calificaciones del aula virtual utm tareas con metodo de calificacion rubrica y extension de plazo en el aula virtual utm preguntas cortas glosario y opciones de gamificacion del aula virtual utm como agregar reactivos al aula virtual utilizando una plantilla de microsoft word diseno y desarrollo de aulas en linea de la utm nivel avanzado formacion para profesores autores de carreras en linea de la utm curso diseno y desarrollo de las aulas en linea de la utm nivel basico
5, mantenimiento avanzado de sistemas de informacion pruebas de software gestion de proyectos de investigacion con pmbok electronica y las tics itsup metodologias para la investigacion ciberseguridad enfoques y tecnologias asociadas primer encuentro nacional de software
6, analisis de datos con power bi ii congreso internacional de ciberseguridad orientaciones basicas para la docencia virtual y diseno de aulas en moodle citic metodologia para la formacion de postgrado bajo la modalidad en linea ciudades cognitivas y diseno de universidades cognitivas python for machine learning ii congreso internacional de educacion inclusiva
7, diseno y utilizacion del e learning en la universidad diseno y desarrollo de las aulas en linea de la utm educacion virtual online para la organizacion de la ensenanza universitaria i conferencia latinoamericana y summer school de analiticas de aprendizaje lala estrategias para evaluar procesos de aprendizaje conferencia edukatic diseno y desarrollo de las aulas en linea de la utm proteja su creacion intelectual
8, v encuentro de graduados de la utm i simposio cientifico internacional del instituto de posgrado de la universidad tecnica de manabi formacion del profesorado en accion tutorial para el seguimiento academico del aprendizaje del estudiantado desde la metodologia de la investigacion accion diseno y desarrollo de las aulas en linea de utm nivel basico ciudades cognitivas y diseno de ciudades cognitivas curso de estrategias innovadoras de aprendizaje clase invertida y aprendizaje orientado a proyectos gestion aprendizaje y buen humor en el aula universitaria seminario taller diseno y utilizacion de e learning en la universidad
9, i encuentro internacional cintifico academico universidad positivaresiliencia y calidad de vida i encuentro internacional cintifico academico universidad positivaresiliencia y calidad de vida primera convencion cientifica internacional de la utm liderazgo en la gestion universitaria software libre para la educacion una experiencia mundial escuelas linux redaccion de articulos cientificos metodologia para la organizacion del proceso de investigacion cientifica procesamiento de lenguaje natural y mineria de texto
10, jornadas academicas cientificas sistema integrado de legislacion ecuatoriana clima y cultura organizacional desarrollo de aplicaiones con herramientas de ta generacion atencion inclusiva a la ciudadania uso estrategico de la web  administracion por procesos manejo de la herramienta visio introduccion a cisco
11, fundamentos teoricos tecnologicos de las criptomonedas metodos estadisticos ciberseguridad enfoque y tecnologias asociadas vii taller internacional la virtualizacion en la educacion superior ii jornadas academicas cientificas ii encuentro de graduados de la universidad tecnica de manabi primera convencion cientifica internacional de la utm manejo y uso de gestores bibliograficos curso teorico practico de redaccion de articulos cientificos
12, introduccion a la mineria de datos con r iii congreso internacional de ciencias informaticas i simposio cientifico internacional del instituto de posgradode la universidad tecnica de manabi curso de formacion continua de desarrollo de aplicaciones web curso de metodos estadisticos curso de metodos de investigacion curso de pedagogia y didactica configuracion de equipos wireless
13, fundamentos teoricos tecnologicos de las criptomonedas ii jornadas academicas cientificas desarrolladas en el ii encuentro a graduados ii jornadas academicas cientificas desarrolladas en el ii encuentro a graduados hardware libre arduino e introduccion a raspberry pi software libre para la educacion una eperiencia mundial escuelas linux curdo teorico practico de redaccion de articulos cientificos metodologia para la organizacion del proceso de investigacion cientifica procesamiento de lenguaje natural y mineria de texto
14, v encuentro de graduados de la utm importar y editar el aula virtual plantilla del diseno y estructura del aula en linea de la utm estrategias innovadoras de aprendizaje ii clase invertida y aprendizaje orientado a proyectos tecnologias aplicadas al campo laboral curso perfil de pares evaluadores gestion de proyectos con pmbok formacion de tutores especializados en nivelacion virtual ciberseguridad enfoques y tecnologias asociadas
15, presentation skills for computer science researchers gestion de la calidad de proyectos de investigacion cientifica con pmbok machine learning aplicado a tecnologias inmersivas para la academia e industria th international conference on technology trends citt programa de reforzamineto academico interacting with perceptual computers introduccion al sistema de recomendaciones
