id,nombre,documento
1,metaheuristicas ,metaheuristicas conceptos optimizacion espacios busqueda espacio objeto funcion objeto restricciones busquedas locales simulated annealing busqueda tabu algoritmos inspirados evolucion geneticos programacion genetica aplicaciones escenarios reales 
2,computacion biologica ,computacion biologica introduccion a biologia molecular arboles filogeneticos introduccion a filogenia metodos construccion arboles gestion plataformas high through put preprocesamiento normalizacion y control calidad datos diseno y planificacion experimentos computacion biologica aplicacion escenarios reales 
3,bioinformatica ,bioinformatica fundamentos biologicos transmision informacion genetica conceptos clave dogma central alineacion secuencias blast algoritmos fuerza bruta programacion dinamica analisis expresion genica expresion diferencial agrupamiento aplicacion escenarios reales 
4,aprendizaje maquina ,aprendizaje maquina terminologia aprendizaje automatico atributos observaciones etiquetas clasificacion prediccion tipos aprendizaje maquina aprendizaje supervisado arboles decision aprendizaje no supervisado pca kmeans y knn metricas calidad aprendizaje maquina internas y externas accuracy precision jaccard 
5,aprendizaje profundo ,aprendizaje profundo fundamentos redes neuronales redes neuronales tipo perceptron arquitecturas aplicacion en problemas clasificacio procesamiento digital imagenes redes neuronales convolucionales 
6,big data ,big data introduccion y fundamentos vs del big data (volumen velocidad variedad veracidad viabilidad visualizacion y valor datos)) fases del procesamiento bigdata tecnologias almacenamiento grandes volumenes datos tecnologias gestion grandes volumenes datos aplicaciones escenarios reales 
7,algebra lineal ,algebra lineal matrices y determinantes sistemas ecuaciones lineales vectores ry r espacios vectoriales y producto interno v transformaciones lineales valores y vectores caracteristicos 
8,calculo variable ,calculo variable conjuntos desigualdades y funciones reales limites y continuidad funciones reales derivacion funciones reales integracion funciones reales 
9,comunicacion y lenguaje ,comunicacion y lenguaje saber escuchar saber hablar saber leer saber redactar v consideraciones estructurales escritura proyecto investigacion 
10,fundamentos programacion ,fundamentos programacion algoritmos y diagramas flujos introduccion a programacion arreglos n dimensionales funciones colecciones y excepciones 
11,calculo varias variables ,calculo varias variables sucesiones y series infinitas funciones varias variables calculo diferencial varias variables calculo integral funciones varias variables 
12,ecuaciones diferenciales ,ecuaciones diferenciales ecuaciones diferenciales ordinarias primer orden ecuaciones diferenciales ordinarias segundo orden y orden superior transformada de la place ecuaciones diferenciales e integro diferenciales 
13,educacion valores y derechos ciudadanos ,educacion valores y derechos ciudadanos introduccion a etica y moral problema valores diversos enfoques desarrollo moral y etico educacion y desarrollo moral y etico desarrollo moral y educacion centrada justicia constitucion politica del ecuador principios aplicacion derechos derechos y deberes ciudadanos buen vivir responsabilidades y ciudadanos inclusion su perspectiva social valores sociedad inclusiva etica inclusion inclusion desde enfoque derechos humanos deberes y derechos personas con discapacidad cognitiva sensorial y motora educacion sociedad inclusa derechos y oport es sociales promocion diversidad y inclusion buenas practicas inclusion desde ejercicio profesional 
