generador,n_words,topico,npmi
BERTopic,15,0,0.1355531754272378
BERTopic,15,1,0.1195020561974059
BERTopic,15,2,0.1826270851514301
BERTopic,15,3,0.3175825204634743
BERTopic,15,4,0.2562194288872723
BERTopic,15,5,0.1943291979681859
BERTopic,15,6,0.3597289223692426
BERTopic,15,7,0.2463440539812207
BERTopic,15,-1,0.493947918462352
BERTopic,19,0,0.1459606579570354
BERTopic,19,1,0.1208736499694746
BERTopic,19,2,0.1496891548765362
BERTopic,19,3,0.2958307916497837
BERTopic,19,4,0.2696568976924599
BERTopic,19,5,0.1904642230603827
BERTopic,19,6,0.3559524843918371
BERTopic,19,7,0.2481416361869304
BERTopic,19,-1,0.4677020082343799
BERTopic,24,0,0.1504720898436851
BERTopic,24,1,0.1756934254671346
BERTopic,24,2,0.1393527210839535
BERTopic,24,3,0.2614516958382624
BERTopic,24,4,0.3213596959538404
BERTopic,24,5,0.185238866643682
BERTopic,24,6,0.2624545303513357
BERTopic,24,7,0.2334605121733434
BERTopic,24,-1,0.3981924928015377
BERTopic,50,0,0.1124708252853543
BERTopic,50,1,0.15887105960431
BERTopic,50,2,0.2013445386838591
BERTopic,50,3,0.320062543144593
BERTopic,50,4,0.2912874409539135
BERTopic,50,5,0.2409262115376146
BERTopic,50,-1,0.4173967498883887
BERTopic,6,0,0.2123183233058899
BERTopic,6,1,0.3333833772401779
BERTopic,6,2,0.1584521029558901
BERTopic,6,3,0.3674549090789064
BERTopic,6,4,0.412467879409884
BERTopic,6,5,0.2852404411724117
BERTopic,6,6,0.2868357949059995
BERTopic,6,7,0.3637093502571254
BERTopic,6,-1,0.4782036776391706
BERTopic,9,0,0.1177651962078642
BERTopic,9,1,0.2866586247621572
BERTopic,9,2,0.165962652427804
BERTopic,9,3,0.3332958432211326
BERTopic,9,4,0.3110419144446308
BERTopic,9,5,0.2073888461166332
BERTopic,9,6,0.2621552634035101
BERTopic,9,7,0.2760057238917794
BERTopic,9,-1,0.1707075687072893
LDA,15,0,0.1508955628148043
LDA,15,1,0.0814558728956696
LDA,15,2,0.092095165098014
LDA,19,0,0.1398010902012794
LDA,19,1,0.0527284119492872
